Item Code,Vitra F80 List,Vitra Metal List,Vitra Feet List
Softshell Five Star F80,1 Dumet Ivory Melange,2 Aluminium Basic Dark Coated,"02 castors hard, braked for carpet"
Softshell Five Star F80,1 Dumet Ivory Melange,2 Aluminium Basic Dark Coated,"03 castors soft, braked for hard floor"
Softshell Five Star F80,1 Dumet Ivory Melange,3 Aluminium Polished,"02 castors hard, braked for carpet"
Softshell Five Star F80,1 Dumet Ivory Melange,3 Aluminium Polished,"03 castors soft, braked for hard floor"
Softshell Five Star F80,2 Dumet Beige Melange,2 Aluminium Basic Dark Coated,"02 castors hard, braked for carpet"
Softshell Five Star F80,2 Dumet Beige Melange,2 Aluminium Basic Dark Coated,"03 castors soft, braked for hard floor"
Softshell Five Star F80,2 Dumet Beige Melange,3 Aluminium Polished,"02 castors hard, braked for carpet"
Softshell Five Star F80,2 Dumet Beige Melange,3 Aluminium Polished,"03 castors soft, braked for hard floor"
Softshell Five Star F80,3 Dumet Beige/Grey,2 Aluminium Basic Dark Coated,"02 castors hard, braked for carpet"
Softshell Five Star F80,3 Dumet Beige/Grey,2 Aluminium Basic Dark Coated,"03 castors soft, braked for hard floor"
Softshell Five Star F80,3 Dumet Beige/Grey,3 Aluminium Polished,"02 castors hard, braked for carpet"
Softshell Five Star F80,3 Dumet Beige/Grey,3 Aluminium Polished,"03 castors soft, braked for hard floor"
Softshell Five Star F80,6 Dumet Pebble Melange,2 Aluminium Basic Dark Coated,"02 castors hard, braked for carpet"
Softshell Five Star F80,6 Dumet Pebble Melange,2 Aluminium Basic Dark Coated,"03 castors soft, braked for hard floor"
Softshell Five Star F80,6 Dumet Pebble Melange,3 Aluminium Polished,"02 castors hard, braked for carpet"
Softshell Five Star F80,6 Dumet Pebble Melange,3 Aluminium Polished,"03 castors soft, braked for hard floor"
Softshell Five Star F80,7 Dumet Gingergrey,2 Aluminium Basic Dark Coated,"02 castors hard, braked for carpet"
Softshell Five Star F80,7 Dumet Gingergrey,2 Aluminium Basic Dark Coated,"03 castors soft, braked for hard floor"
Softshell Five Star F80,7 Dumet Gingergrey,3 Aluminium Polished,"02 castors hard, braked for carpet"
Softshell Five Star F80,7 Dumet Gingergrey,3 Aluminium Polished,"03 castors soft, braked for hard floor"
Softshell Five Star F80,10 Dumet Pale Rose/Beige,2 Aluminium Basic Dark Coated,"02 castors hard, braked for carpet"
Softshell Five Star F80,10 Dumet Pale Rose/Beige,2 Aluminium Basic Dark Coated,"03 castors soft, braked for hard floor"
Softshell Five Star F80,10 Dumet Pale Rose/Beige,3 Aluminium Polished,"02 castors hard, braked for carpet"
Softshell Five Star F80,10 Dumet Pale Rose/Beige,3 Aluminium Polished,"03 castors soft, braked for hard floor"
Softshell Five Star F80,11 Dumet Yellow Melange,2 Aluminium Basic Dark Coated,"02 castors hard, braked for carpet"
Softshell Five Star F80,11 Dumet Yellow Melange,2 Aluminium Basic Dark Coated,"03 castors soft, braked for hard floor"
Softshell Five Star F80,11 Dumet Yellow Melange,3 Aluminium Polished,"02 castors hard, braked for carpet"
Softshell Five Star F80,11 Dumet Yellow Melange,3 Aluminium Polished,"03 castors soft, braked for hard floor"
Softshell Five Star F80,17 Dumet Sand Melange,2 Aluminium Basic Dark Coated,"02 castors hard, braked for carpet"
Softshell Five Star F80,17 Dumet Sand Melange,2 Aluminium Basic Dark Coated,"03 castors soft, braked for hard floor"
Softshell Five Star F80,17 Dumet Sand Melange,3 Aluminium Polished,"02 castors hard, braked for carpet"
Softshell Five Star F80,17 Dumet Sand Melange,3 Aluminium Polished,"03 castors soft, braked for hard floor"
Softshell Five Star F80,22 Dumet Pale Blue/Pale Rose,2 Aluminium Basic Dark Coated,"02 castors hard, braked for carpet"
Softshell Five Star F80,22 Dumet Pale Blue/Pale Rose,2 Aluminium Basic Dark Coated,"03 castors soft, braked for hard floor"
Softshell Five Star F80,22 Dumet Pale Blue/Pale Rose,3 Aluminium Polished,"02 castors hard, braked for carpet"
Softshell Five Star F80,22 Dumet Pale Blue/Pale Rose,3 Aluminium Polished,"03 castors soft, braked for hard floor"
Softshell Five Star F80,23 Dumet Pale Rose/Coral,2 Aluminium Basic Dark Coated,"02 castors hard, braked for carpet"
Softshell Five Star F80,23 Dumet Pale Rose/Coral,2 Aluminium Basic Dark Coated,"03 castors soft, braked for hard floor"
